"times","S","E","On","Of","A","Q","Bs","Bp","v","w","N","POUD","actPOUD","prop.OAT","prop.capacity","dsct","cost","qaly","inj","du.init","date","B_total","O_total","active_users","coverage_rate","capacity_utilization","waiting_change","patients_change"
1495,34977.6831582646,31060.7347263845,5153.34063922462,766.393020419823,2504.46960549354,1.25076871946886,399.620642113536,1203.30271679081,0.607412267863317,0.804476765806544,76066.7952774109,10028.3773927618,5920.98442836393,0.159838755177012,0.174504800872681,0.885067896874208,1467.80260971979,145.689281543303,8567.22182642166,2.18786926952063,4.0958904109589,1602.92335890434,5919.73365964445,5920.98442836393,15.9838755177012,91.5956205088196,0.00010129987962082,-0.0469733144404927
1496,34975.5533818114,31060.5818921236,5153.09805813165,766.604358272185,2504.42802127078,1.25086992648671,399.620640595786,1203.25587695613,0.607335229731574,0.804402671348427,76064.3930990881,10028.257825153,5920.95328633034,0.159835990009307,0.174506881505442,0.884995619724284,1467.64733571316,145.672594877144,8567.07977783646,2.18779191508082,4.0986301369863,1602.87651755191,5919.70241640383,5920.95328633034,15.9835990009307,91.5929438601094,0.000101207017852989,-0.0468413524283733
1497,34973.4238548495,31060.4289138162,5152.85543450447,766.815559846183,2504.38642513394,1.25097104074732,399.620639077265,1203.20916888848,0.607258244358765,0.804328613010002,76061.9909671568,10028.1381984911,5920.92196539141,0.159833238856533,0.174508963215457,0.884923348476716,1467.49217687794,145.655910116249,8566.93755709859,2.18771453199663,4.1013698630137,1602.82980796575,5919.67099435066,5920.92196539141,15.9833238856533,91.5902747409,0.000101114260611102,-0.0467095861640701
1498,34971.2945773874,31060.2757914932,5152.61276839941,767.026625292021,2504.34481708953,1.25107206235507,399.620637557975,1203.16259239238,0.607181311670801,0.804254590764528,76059.5888816743,10028.0185127937,5920.8904657538,0.159830501699367,0.174511046002494,0.884851083131023,1467.33713304045,145.639227260491,8566.79516440014,2.18763712031316,4.1041095890411,1602.78322995036,5919.63939369143,5920.8904657538,15.9830501699367,91.5876131400204,0.00010102160774994,-0.0465780153933792
1499,34969.1655494334,31060.122525186,5152.37005987274,767.237554759684,2504.30319714408,1.25117299141419,399.620636037914,1203.11614727258,0.607104431593729,0.804180604585282,76057.1868426979,10027.8987680784,5920.85878762385,0.159827778518511,0.174513129866322,0.884778823686722,1467.18220402727,145.622546309739,8566.65259993298,2.18755968007546,4.10684931506849,1602.73678331049,5919.60761463242,5920.85878762385,15.9827778518511,91.5849590463138,0.0001009290591234,-0.0464466398645982
1500,34967.036770996,31059.9691149257,5152.1273089807,767.44834839894,2504.26156530408,1.25127382802878,399.620634517084,1203.06983333408,0.60702760405374,0.804106654445564,76054.7848502846,10027.7789643629,5920.82693120768,0.159825069294693,0.17451521480671,0.884706570143333,1467.02738966523,145.605867263866,8566.50986388876,2.18748221132853,4.10958904109589,1602.69046785117,5919.57565737964,5920.82693120768,15.9825069294693,91.5823124486382,0.000100836614587152,-0.0463154593239778
1501,34964.9082420834,31059.8155607433,5151.8845157795,767.659006359337,2504.21992157604,1.25137457230278,399.620632995484,1203.02365038216,0.60695082897716,0.804032740318694,76052.3829044916,10027.6591016648,5920.79489671113,0.159822374008663,0.174517300823426,0.884634322500372,1466.87268978138,145.589190122742,8566.36695645892,2.18740471411731,4.11232876712329,1602.64428337765,5919.54352213884,5920.79489671113,15.9822374008663,91.5796733358656,0.000100744273995756,-0.0461844735193608
1502,34962.779962704,31059.6618626702,5151.64168032533,767.869528790206,2504.17826596645,1.25147522433998,399.620631473115,1202.97759822233,0.606874106290456,0.803958862178012,76049.981005376,10027.5391800018,5920.76268433987,0.159819692641198,0.174519387916238,0.884562080757358,1466.71810420304,145.572514886238,8566.22387783468,2.18732718848667,4.11506849315068,1602.59822969545,5919.51120911553,5920.76268433987,15.9819692641198,91.5770416968828,0.000100652037204663,-0.0460536821985897
1503,34960.6519328659,31059.5080207374,5151.39880267432,768.079915840658,2504.13659848181,1.25157578424405,399.620629949977,1202.93167666036,0.606797435920234,0.803885019996879,76047.5791529947,10027.4191993914,5920.73029429922,0.159817025173098,0.174521476084915,0.884489844913809,1466.56363275774,145.555841554226,8566.08062820705,2.18724963448144,4.11780821917808,1602.55230661034,5919.47871851498,5920.73029429922,15.9817025173098,91.5744175205908,0.000100559904068875,-0.0459230851104167
1504,34958.5241525774,31059.354034976,5151.15588288259,768.290167659589,2504.09491912862,1.25167625211849,399.620628426069,1202.88588550227,0.606720817793236,0.803811213748676,76045.1773474046,10027.2991598512,5920.69772679429,0.159814371585191,0.174523565329227,0.884417614969244,1466.40927527328,145.539170126574,8565.93720776683,2.18717205214639,4.12054794520548,1602.50651392834,5919.44605054217,5920.69772679429,15.9814371585191,91.5718007959049,0.000100467874444954,-0.0457926820029115
